Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints,Model Feature,Model Output,Column Alias,OHE,Value Encoding,Missing Data Remap?,Remap Value,Fill Zeros,Numeric
AIALANGA,Language of the MEC ACASI Interview Instrument,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDBORN4,In what country {were you/was SP} born?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,TRUE,,max_education,TRUE,"{ 1: ""less than 9th grade"", 2: ""9-11th grade (includes 12th grade with no diploma)"", 3: ""High school graduate/GED or equivalent"", 4: ""Some college or AA degree"", 5: ""College graduate or above"", 6: ""Refused"", 7: ""Don't know"", None: ""Missing""}",,,,
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDFMSIZ,Total number of people in the Family,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDHHSIZ,Total number of people in the Household,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDHHSZA,Number of children aged 5 years or younger in the household,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDHHSZB,Number of children aged 6-17 years old in the household,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDHHSZE,Number of adults aged 60 years or older in the household,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDHRAGZ,HH reference person's age in years,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDHREDZ,HH reference person's education level,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDHRGND,HH reference person's gender,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDHRMAZ,HH reference person's marital status,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDHSEDZ,HH reference person's spouse's education level,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMDMARTL,Marital status,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,TRUE,,marital_status,TRUE,"{ 1: ""Married"", 2: ""Widowed"", 3: ""Divorced"", 4: ""Separated"", 5: ""Never married"", 6: ""Living with partner"", 77: ""Refused"", 99: ""Don't know"", None:""Missing"" }",,,,
DMDYRSUS,Length of time the participant has been in the US.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMQADFC,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
DMQMILIZ,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
FIAINTRP,Was an interpreter used to conduct the Family interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
FIALANG,Language of the Family Interview Instrument,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
FIAPROXY,Was a Proxy respondent used in conducting the Family Interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
INDFMIN2,Total family income (reported as a range value in dollars),DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
INDFMPIR,A ratio of family income to poverty guidelines.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,TRUE,,income_poverty_ratio,,,,,,TRUE
INDHHIN2,Total household income (reported as a range value in dollars),DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
MIAINTRP,Was an interpreter used to conduct the MEC CAPI interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
MIALANG,Language of the MEC CAPI Interview Instrument,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
MIAPROXY,Was a Proxy respondent used in conducting the MEC CAPI Interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
RIAGENDR,Gender of the participant.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,TRUE,,gender,TRUE,"{1: ""male"", 2: ""female""}",,,,
RIDAGEMN,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,TRUE,,age,,,,,,TRUE
RIDEXAGM,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
RIDEXMON,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.",DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
RIDEXPRG,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,TRUE,,pregnancy_status,TRUE,"{1: ""Pregnant"", 2:""Not pregnant"", 3:""Uncertain"", None:""Not Applicable""}",,,,
RIDRETH1,Recode of reported race and Hispanic origin information,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
RIDRETH3,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category",DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,TRUE,,reported_race,TRUE,"{ 1: ""Mexican American"", 2: ""Other Hispanic"", 3: ""Non Hispanic White"", 4: ""Non Hispanic Black"", 6: ""Non Hispanic Asian"", 7: ""Other"" }",,,,
RIDSTATR,Interview and examination status of the participant.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
SDDSRVYR,Data release cycle,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,,,,,,,,,,
