precision,recall,f1-score,support,model,classification,data_type
0.8062770562770563,0.9600515463917526,0.8764705882352941,776.0,Logistic Regression,Multi (3),x_train
0.3620689655172414,0.13548387096774195,0.19718309859154928,155.0,Logistic Regression,Multi (3),x_train
0.3125,0.12048192771084337,0.17391304347826086,83.0,Logistic Regression,Multi (3),x_train
0.7652859960552268,0.7652859960552268,0.7652859960552268,0.7652859960552268,Logistic Regression,Multi (3),x_train
0.4936153405980992,0.40533911502344594,0.4158555767683681,1014.0,Logistic Regression,Multi (3),x_train
0.6979577764557872,0.7652859960552268,0.715127553610428,1014.0,Logistic Regression,Multi (3),x_train
0.8764805414551607,0.6675257731958762,0.7578639356254572,776.0,Logistic Regression,Multi (3),x_train_bal
0.19730941704035873,0.2838709677419355,0.2328042328042328,155.0,Logistic Regression,Multi (3),x_train_bal
0.2,0.4819277108433735,0.2826855123674912,83.0,Logistic Regression,Multi (3),x_train_bal
0.5936883629191322,0.5936883629191322,0.5936883629191322,0.5936883629191322,Logistic Regression,Multi (3),x_train_bal
0.42459665283183984,0.47777481726039506,0.4244512269323937,1014.0,Logistic Regression,Multi (3),x_train_bal
0.7172898025744184,0.5936883629191322,0.6387080548880796,1014.0,Logistic Regression,Multi (3),x_train_bal
0.8855633802816901,0.6481958762886598,0.7485119047619048,776.0,Logistic Regression,Multi (3),x_train weighted
0.21926910299003322,0.4258064516129032,0.2894736842105263,155.0,Logistic Regression,Multi (3),x_train weighted
0.20689655172413793,0.3614457831325301,0.2631578947368421,83.0,Logistic Regression,Multi (3),x_train weighted
0.5907297830374754,0.5907297830374754,0.5907297830374754,0.5907297830374754,Logistic Regression,Multi (3),x_train weighted
0.43724301166528706,0.47848270367803103,0.43371449456975775,1014.0,Logistic Regression,Multi (3),x_train weighted
0.7281620393048818,0.5907297830374754,0.6386151522791199,1014.0,Logistic Regression,Multi (3),x_train weighted
0.8861209964412812,0.6417525773195877,0.7443946188340808,776.0,Logistic Regression,Multi (3),x_train_under
0.24034334763948498,0.36129032258064514,0.28865979381443296,155.0,Logistic Regression,Multi (3),x_train_under
0.1643835616438356,0.43373493975903615,0.23841059602649006,83.0,Logistic Regression,Multi (3),x_train_under
0.5818540433925049,0.5818540433925049,0.5818540433925049,0.5818540433925049,Logistic Regression,Multi (3),x_train_under
0.43028263524153393,0.4789259465530897,0.4238216695583346,1014.0,Logistic Regression,Multi (3),x_train_under
0.7283303232139967,0.5818540433925049,0.6333141733004758,1014.0,Logistic Regression,Multi (3),x_train_under
0.8683788121990369,0.6971649484536082,0.773409578270193,776.0,Logistic Regression,Binary,x_train
0.3989769820971867,0.6554621848739496,0.4960254372019078,238.0,Logistic Regression,Binary,x_train
0.6873767258382643,0.6873767258382643,0.6873767258382643,0.6873767258382643,Logistic Regression,Binary,x_train
0.6336778971481118,0.676313566663779,0.6347175077360504,1014.0,Logistic Regression,Binary,x_train
0.7582036291968275,0.6873767258382643,0.7083036358892739,1014.0,Logistic Regression,Binary,x_train
0.7652859960552268,1.0,0.8670391061452514,776.0,Random Forest,Multi (3),x_train
0.0,0.0,0.0,155.0,Random Forest,Multi (3),x_train
0.0,0.0,0.0,83.0,Random Forest,Multi (3),x_train
0.7652859960552268,0.7652859960552268,0.7652859960552268,0.7652859960552268,Random Forest,Multi (3),x_train
0.25509533201840895,0.3333333333333333,0.28901303538175044,1014.0,Random Forest,Multi (3),x_train
0.5856626557582407,0.7652859960552268,0.6635328859652023,1014.0,Random Forest,Multi (3),x_train
0.7702702702702703,0.7345360824742269,0.7519788918205804,776.0,Random Forest,Multi (3),x_train_bal
0.18238993710691823,0.1870967741935484,0.18471337579617833,155.0,Random Forest,Multi (3),x_train_bal
0.11304347826086956,0.1566265060240964,0.13131313131313133,83.0,Random Forest,Multi (3),x_train_bal
0.6035502958579881,0.6035502958579881,0.6035502958579881,0.6035502958579881,Random Forest,Multi (3),x_train_bal
0.35523456187935265,0.35941978756395726,0.3560017996432967,1014.0,Random Forest,Multi (3),x_train_bal
0.6266102353816118,0.6035502958579881,0.6144627053256094,1014.0,Random Forest,Multi (3),x_train_bal
0.7741407528641571,0.6095360824742269,0.6820475847152127,776.0,Random Forest,Multi (3),x_train_under
0.13740458015267176,0.11612903225806452,0.1258741258741259,155.0,Random Forest,Multi (3),x_train_under
0.10661764705882353,0.3493975903614458,0.16338028169014085,83.0,Random Forest,Multi (3),x_train_under
0.5128205128205128,0.5128205128205128,0.5128205128205128,0.5128205128205128,Random Forest,Multi (3),x_train_under
0.3393876600252175,0.3583542350312457,0.3237673307598265,1014.0,Random Forest,Multi (3),x_train_under
0.6221698213531878,0.5128205128205128,0.5545759158084578,1014.0,Random Forest,Multi (3),x_train_under
0.7637474541751528,0.9664948453608248,0.8532423208191127,776.0,Random Forest,Binary,x_train
0.1875,0.025210084033613446,0.044444444444444446,238.0,Random Forest,Binary,x_train
0.7455621301775148,0.7455621301775148,0.7455621301775148,0.7455621301775148,Random Forest,Binary,x_train
0.4756237270875764,0.4958524646972191,0.44884338263177853,1014.0,Random Forest,Binary,x_train
0.6284941069427205,0.7455621301775148,0.6634061328731846,1014.0,Random Forest,Binary,x_train
0.8651515151515151,0.7358247422680413,0.7952646239554317,776.0,ComplementNB,Multi (3),x_train_minmax(twice scaled)
0.2783018867924528,0.38064516129032255,0.3215258855585831,155.0,ComplementNB,Multi (3),x_train_minmax(twice scaled)
0.1619718309859155,0.27710843373493976,0.20444444444444446,83.0,ComplementNB,Multi (3),x_train_minmax(twice scaled)
0.6439842209072978,0.6439842209072978,0.6439842209072978,0.6439842209072978,ComplementNB,Multi (3),x_train_minmax(twice scaled)
0.43514174430996116,0.46452611243110126,0.44041165131948645,1014.0,ComplementNB,Multi (3),x_train_minmax(twice scaled)
0.7178876037300167,0.6439842209072978,0.6744879184811482,1014.0,ComplementNB,Multi (3),x_train_minmax(twice scaled)
0.871875,0.7190721649484536,0.788135593220339,776.0,ComplementNB,Binary,x_train_minmax(twice scaled)
0.41711229946524064,0.6554621848739496,0.5098039215686274,238.0,ComplementNB,Binary,x_train_minmax(twice scaled)
0.7041420118343196,0.7041420118343196,0.7041420118343196,0.7041420118343196,ComplementNB,Binary,x_train_minmax(twice scaled)
0.6444936497326204,0.6872671749112016,0.6489697573944833,1014.0,ComplementNB,Binary,x_train_minmax(twice scaled)
0.7651358257127487,0.7041420118343196,0.7228072521423239,1014.0,ComplementNB,Binary,x_train_minmax(twice scaled)
0.8575581395348837,0.7603092783505154,0.8060109289617486,776.0,ComplementNB,Multi (3),x_train_bal_minmax(twice scaled)
0.14492753623188406,0.06451612903225806,0.08928571428571429,155.0,ComplementNB,Multi (3),x_train_bal_minmax(twice scaled)
0.16342412451361868,0.5060240963855421,0.24705882352941178,83.0,ComplementNB,Multi (3),x_train_bal_minmax(twice scaled)
0.6331360946745562,0.6331360946745562,0.6331360946745562,0.6331360946745562,ComplementNB,Multi (3),x_train_bal_minmax(twice scaled)
0.3886366000934622,0.44361650125610524,0.3807851555922916,1014.0,ComplementNB,Multi (3),x_train_bal_minmax(twice scaled)
0.6918077778398837,0.6331360946745562,0.6506998510271634,1014.0,ComplementNB,Multi (3),x_train_bal_minmax(twice scaled)
0.8685800604229608,0.740979381443299,0.799721835883171,776.0,ComplementNB,Binary,x_train_bal_minmax(twice scaled)
0.4289772727272727,0.634453781512605,0.511864406779661,238.0,ComplementNB,Binary,x_train_bal_minmax(twice scaled)
0.7159763313609467,0.7159763313609467,0.7159763313609467,0.7159763313609467,ComplementNB,Binary,x_train_bal_minmax(twice scaled)
0.6487786665751167,0.687716581477952,0.6557931213314161,1014.0,ComplementNB,Binary,x_train_bal_minmax(twice scaled)
0.7653991299776217,0.7159763313609467,0.7321576661330376,1014.0,ComplementNB,Binary,x_train_bal_minmax(twice scaled)
0.7652859960552268,1.0,0.8670391061452514,776.0,SVM,Multi (3),x_train
0.0,0.0,0.0,155.0,SVM,Multi (3),x_train
0.0,0.0,0.0,83.0,SVM,Multi (3),x_train
0.7652859960552268,0.7652859960552268,0.7652859960552268,0.7652859960552268,SVM,Multi (3),x_train
0.25509533201840895,0.3333333333333333,0.28901303538175044,1014.0,SVM,Multi (3),x_train
0.5856626557582407,0.7652859960552268,0.6635328859652023,1014.0,SVM,Multi (3),x_train
0.8252840909090909,0.7487113402061856,0.7851351351351351,776.0,SVM,Multi (3),x_train weighted
0.1784037558685446,0.24516129032258063,0.20652173913043478,155.0,SVM,Multi (3),x_train weighted
0.18556701030927836,0.21686746987951808,0.2,83.0,SVM,Multi (3),x_train weighted
0.6282051282051282,0.6282051282051282,0.6282051282051282,0.6282051282051282,SVM,Multi (3),x_train weighted
0.396418285695638,0.4035800334694281,0.3972189580885233,1014.0,SVM,Multi (3),x_train weighted
0.6740385587384115,0.6282051282051282,0.6487926375050121,1014.0,SVM,Multi (3),x_train weighted
0.8192934782608695,0.7770618556701031,0.7976190476190477,776.0,SVM,Multi (3),x_train_bal
0.19411764705882353,0.2129032258064516,0.20307692307692307,155.0,SVM,Multi (3),x_train_bal
0.17592592592592593,0.2289156626506024,0.19895287958115182,83.0,SVM,Multi (3),x_train_bal
0.645956607495069,0.645956607495069,0.645956607495069,0.645956607495069,SVM,Multi (3),x_train_bal
0.39644568374853967,0.4062935813757191,0.39988295009237423,1014.0,SVM,Multi (3),x_train_bal
0.6710668898189391,0.645956607495069,0.6577341154186782,1014.0,SVM,Multi (3),x_train_bal
0.8689138576779026,0.5979381443298969,0.7083969465648855,776.0,SVM,Multi (3),x_train under
0.17391304347826086,0.25806451612903225,0.2077922077922078,155.0,SVM,Multi (3),x_train under
0.136,0.40963855421686746,0.2042042042042042,83.0,SVM,Multi (3),x_train under
0.5305719921104537,0.5305719921104537,0.5305719921104537,0.5305719921104537,SVM,Multi (3),x_train under
0.3929423003853878,0.42188040489193224,0.37346445285376584,1014.0,SVM,Multi (3),x_train under
0.7026840979262158,0.5305719921104537,0.5906043113324381,1014.0,SVM,Multi (3),x_train under
0.8507223113964687,0.6829896907216495,0.7576840600428878,776.0,SVM,Binary,x_train_bal
0.37084398976982097,0.6092436974789915,0.4610492845786963,238.0,SVM,Binary,x_train_bal
0.665680473372781,0.665680473372781,0.665680473372781,0.665680473372781,SVM,Binary,x_train_bal
0.6107831505831448,0.6461166941003205,0.609366672310792,1014.0,SVM,Binary,x_train_bal
0.7380881491211805,0.665680473372781,0.6880597241844286,1014.0,SVM,Binary,x_train_bal
0.7652859960552268,1.0,0.8670391061452514,776.0,XGB,Multi (3),x_train
0.0,0.0,0.0,155.0,XGB,Multi (3),x_train
0.0,0.0,0.0,83.0,XGB,Multi (3),x_train
0.7652859960552268,0.7652859960552268,0.7652859960552268,0.7652859960552268,XGB,Multi (3),x_train
0.25509533201840895,0.3333333333333333,0.28901303538175044,1014.0,XGB,Multi (3),x_train
0.5856626557582407,0.7652859960552268,0.6635328859652023,1014.0,XGB,Multi (3),x_train
0.8307322929171669,0.8917525773195877,0.8601615910503418,776.0,XGB,Multi (3),x_train_bal
0.2839506172839506,0.14838709677419354,0.19491525423728814,155.0,XGB,Multi (3),x_train_bal
0.21,0.25301204819277107,0.22950819672131148,83.0,XGB,Multi (3),x_train_bal
0.7258382642998028,0.7258382642998028,0.7258382642998028,0.7258382642998028,XGB,Multi (3),x_train_bal
0.44156097006703915,0.43105057409551745,0.4281950140029805,1014.0,XGB,Multi (3),x_train_bal
0.6963418195095994,0.7258382642998028,0.7068505319425186,1014.0,XGB,Multi (3),x_train_bal
0.8697183098591549,0.6365979381443299,0.7351190476190477,776.0,XGB,Multi (3),x_train_under
0.21081081081081082,0.25161290322580643,0.22941176470588234,155.0,XGB,Multi (3),x_train_under
0.16091954022988506,0.5060240963855421,0.2441860465116279,83.0,XGB,Multi (3),x_train_under
0.5670611439842209,0.5670611439842209,0.5670611439842209,0.5670611439842209,XGB,Multi (3),x_train_under
0.41381622029995024,0.4647449792518928,0.4029056196121859,1014.0,XGB,Multi (3),x_train_under
0.7109796903012429,0.5670611439842208,0.6176318011264871,1014.0,XGB,Multi (3),x_train_under
